source_filename,relative_path,source_reason,placement_role,export_type,output_filename,output_dimensions,crop_logic,rule_source
Beauty_2019_rihanna_savage-fenty_18.jpg.JPG,processed_final/Beauty/Beauty_2019_rihanna_savage-fenty_18.jpg.JPG,both,homepage_hero,hero,hero-bg.png,3840x2160,"HC — cinematic full-bleed landscape, subject upper-center",guide + locked_site_role
Editorial_2021_aurora-james_grazia-usa_34.jpg,processed_final/Editorial/Editorial_2021_aurora-james_grazia-usa_34.jpg,both,homepage_strip_1,homepage_strip (featured),editorial_2021_aurora-james_grazia-usa_34.jpg,2400x1600,HC — horizontal band for homepage animated strip,locked_site_role
Redcarpet_2022_ebony-obsidian_red-carpet_01.jpg,processed_final/Red Carpet/Redcarpet_2022_ebony-obsidian_red-carpet_01.jpg,locked_website_placement,homepage_strip_2,homepage_strip (featured),redcarpet_2022_ebony-obsidian_red-carpet_01.jpg,2400x1600,HC — horizontal band for homepage animated strip,locked_site_role
Beauty_2018_lupita-nyongo_ace-awards_14.jpg,processed_final/Beauty/Beauty_2018_lupita-nyongo_ace-awards_14.jpg,locked_website_placement,homepage_strip_3,homepage_strip (featured),beauty_2018_lupita-nyongo_ace-awards_14.jpg,2400x1600,HC — horizontal band for homepage animated strip,locked_site_role
homepage_2019_rihanna_phaidon_01.jpg,processed_final/Homepage/homepage_2019_rihanna_phaidon_01.jpg,locked_website_placement,homepage_strip_4,homepage_strip (featured),homepage_2019_rihanna_phaidon_01.jpg,2400x1600,HC — horizontal band for homepage animated strip,locked_site_role
Beauty_2021_carmen-solomons_studio_11.jpg,processed_final/Beauty/Beauty_2021_carmen-solomons_studio_11.jpg,both,section_cover_beauty,section_cover (featured),beauty_2021_carmen-solomons_studio_11.jpg,2400x1600,HC — horizontal band for section cover. Carmen's face + hair should dominate.,guide + locked_site_role
Ecom_2019_tabria-majors_savage-x-fenty_02.jpg,processed_final/Commercial:ECOM/Ecom_2019_tabria-majors_savage-x-fenty_02.jpg,both,section_cover_commercial,section_cover (featured),ecom_2019_tabria-majors_savage-x-fenty_02.jpg,2400x1600,HC — horizontal band for section cover,guide + locked_site_role
cover_2018_duckie-thot_harpers-bazaar_01.jpg,processed_final/Cover/cover_2018_duckie-thot_harpers-bazaar_01.jpg,locked_website_placement,section_cover_covers,section_cover (featured),cover_2018_duckie-thot_harpers-bazaar_01.jpg,2400x1600,HC — horizontal band for section cover,guide + locked_site_role
Editorial_2021_salem-mitchell_schon-magazine_29.jpg,processed_final/Editorial/Editorial_2021_salem-mitchell_schon-magazine_29.jpg,locked_website_placement,section_cover_editorial,section_cover (featured),editorial_2021_salem-mitchell_schon-magazine_29.jpg,2400x1600,HC — horizontal band for section cover,guide + locked_site_role
Redcarpet_2022_saniyya-sidney_hca-awards_09.jpg,processed_final/Red Carpet/Redcarpet_2022_saniyya-sidney_hca-awards_09.jpg,both,section_cover_red_carpet,section_cover (featured),redcarpet_2022_saniyya-sidney_hca-awards_09.jpg,2400x1600,HC — horizontal band for section cover,guide + locked_site_role
Michael.jpeg,Michael.jpeg,both,about_portrait,portrait,about-portrait.png,1600x2400,"SC — subject-aware, keep face and upper body prominent",guide + locked_site_role
Beauty_2019_rihanna_savage-fenty_18.jpg.JPG,processed_final/Beauty/Beauty_2019_rihanna_savage-fenty_18.jpg.JPG,locked_website_placement,open_graph_source,open_graph_prep,og_beauty_rihanna.jpg,1200x630,HC — horizontal band for OG image composition,locked_site_role
Editorial_2021_aurora-james_grazia-usa_34.jpg,processed_final/Editorial/Editorial_2021_aurora-james_grazia-usa_34.jpg,locked_website_placement,open_graph_source,open_graph_prep,og_editorial_aurora.jpg,1200x630,HC — horizontal band for OG image composition,locked_site_role
